Active Ingredient,Drug Class,SMILES,# Atoms,Length,ERROR_STATUS,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
MISOPROSTOL,,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,27,57,SUCCESS,CCCCC(C)(O)C/C=C/[C@@H]1C(CCCCCCC(=O)OC)C(=O)C[C@H]1O,-4.427,2.96,3.419,0.257,0.024,0.325,0.712,0.61,-4.568,3.16E-05,0.887,90.32%,0.452,3.66%,0.034,0.732,0.187,0.873,0.342,0.936,0.004,0.056,0.863,0.181,7.37,0.839,0.027,0.368,0.095,0.01,0.949,0.861,0.235,0.046,0.004,0.017,0.036,0.483,4.32,3.354,4.633,0.042,0.006,0.015,0.226,0.125,0.005,0.029,0.178,0.01,0.336,0.352,0.895,382.27,416.553,0.918,5,2,83.83,14,1,5,5,0,8,1.75,4,0,0,0,0,1,1,2,0,0.286,3.887,0.818,24.2,1.406,0,0,0,0,Accepted,Accepted,Accepted,Accepted
ROSIGLITAZONE MALEATE,,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3.OC(=O)\C=C/C(O)=O,33,57,SUCCESS,CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1,-4.167,3.024,3.215,0.001,0.001,0.013,0.142,0.073,-4.878,2.77E-05,0.137,92.04%,0.475,3.16%,0.789,0.503,0.964,0.065,0.942,0.582,0.743,0.524,0.814,0.798,8.793,0.475,0.04,0.642,0.986,0.316,0.048,0.017,0.058,0.673,0.003,0.011,0.021,0.582,2.576,3.341,4.171,0.03,0.017,0.617,0.011,0.439,0.01,0.757,0.339,0.149,0.017,0.43,0.288,357.11,350.993,1.017,6,2,78.45,7,3,6,7,0,18,0.389,0,0,0,1,0,2,0,0,1,0.68,2.501,0.222,16,-1.175,3,0,0,0,Accepted,Accepted,Accepted,Accepted
IOXILAN,,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,32,57,SUCCESS,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I,-0.075,-1.079,-2.2,0,0.995,0.999,0.995,0.999,-5.928,0.000398,0.145,9.47%,0.318,90.98%,0.03,0.022,0.011,0.072,0.003,0.061,0.001,0.097,0.018,0.067,1.272,0.967,0.016,0.132,0.028,0.022,0.002,0.009,0.017,0.007,0.003,0.007,0.016,0.482,1.934,2.498,4.15,0.679,0.014,0.021,0.009,0.513,0.018,0.048,0.365,0.005,0.002,0.054,0.019,790.87,474.651,1.666,11,7,179.66,14,1,6,14,0,9,1.556,2,0,0,0,1,2,1,1,1,0.14,3.899,0.5,30,-0.452,1,1,0,0,Rejected,Accepted,Rejected,Rejected
DOLASETRON MESYLATE,,C[S](O)(=O)=O.O=C1CN2C3CC(CC2CC1C3)OC(=O)c4c[nH]c5ccccc45,29,57,SUCCESS,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,-1.815,1.425,2.432,0.047,0.346,0.009,0.002,0.003,-4.716,1.28E-05,0.887,60.95%,1.919,22.69%,0.054,0.1,0.221,0.08,0.232,0.823,0.947,0.835,0.541,0.551,14.542,0.691,0.746,0.948,0.357,0.008,0.418,0.921,0.157,0.181,0.003,0.015,0.26,0.614,3.464,3.465,5.916,0.01,0.002,0.587,0.004,0.261,0.463,0.006,0.165,0.004,0.011,0.04,0.009,324.15,326.943,0.991,5,1,62.4,3,6,9,5,0,25,0.12,2,0,0,0,0,1,1,0,2,0.862,4.49,0.474,91.071,0.433,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CYCLACILLIN,,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(O)=O,23,57,SUCCESS,CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(=O)O,-2.252,0.667,1.365,0.003,0.024,0.26,0.013,0.021,-5.907,2.42E-05,0.063,21.33%,0.412,78.56%,0.006,0.085,0.03,0.199,0.027,0.509,0.184,0.109,0.014,0.031,2.87,0.827,0.003,0.125,0.533,0.005,0.054,0.006,0.174,0.033,0.003,0.007,0.079,-0.018,2.705,3.49,3.968,0.008,0.002,0.02,0.005,0.131,0.006,0.004,0.436,0.004,0.006,0.009,0.01,341.14,321.078,1.062,7,4,112.73,4,3,7,8,0,17,0.235,3,0,0,0,0,0,3,0,2,0.636,3.771,0.8,60.296,0.84,3,1,0,0,Accepted,Accepted,Accepted,Accepted
CLOFAZIMINE,,CC(C)N=C1C=C2N(c3ccc(Cl)cc3)c4ccccc4N=C2C=C1Nc5ccc(Cl)cc5,33,57,SUCCESS,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3[nH]c-2cc1=Nc1ccc(Cl)cc1,-7.483,5.256,7.147,0.999,0.019,0.003,0.003,0.004,-5.34,4.20E-06,0.25,99.25%,2.728,1.20%,0.912,0.211,0.674,0.077,0.34,0.383,0.987,0.858,0.188,0.914,2.222,0.041,0.869,0.381,0.857,0.771,0.342,0.985,0.061,0.638,0.003,0.228,0.141,3.523,5.642,7.188,6.553,0.029,0.004,0.974,0.97,0.931,0.652,0.006,0.963,0.899,0.87,0.971,0.928,472.12,472.901,0.998,4,1,45.44,3,5,14,6,0,30,0.1,0,2,0,3,0,1,0,1,2,0.277,2.911,0.111,27,-0.798,1,0,0,2,Accepted,Rejected,Rejected,Rejected
MICONAZOLE NITRATE,,O[N+]([O-])=O.Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,29,57,SUCCESS,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,-5.122,4.385,5.527,0.05,0.009,0.002,0.008,0.995,-4.537,2.79E-05,0.001,99.67%,3.112,2.62%,0.964,0.18,0.971,0.064,0.961,0.071,0.981,0.049,0.984,0.799,8.42,0.068,0.945,0.045,0.965,0.307,0.103,0.17,0.672,0.133,0.003,0.014,0.033,2.971,5.084,6.379,5.041,0.005,0.004,0.917,0.991,0.091,0.401,0.004,0.917,0.025,0.947,0.892,0.852,413.99,364.751,1.135,3,0,27.05,6,3,6,7,0,17,0.353,1,0,0,0,0,2,0,1,1,0.462,2.863,0.167,34,-0.919,0,0,0,0,Accepted,Rejected,Rejected,Accepted
TROSPIUM CHLORIDE,,[Cl-].OC(C(=O)OC1CC2CCC(C1)[N+]23CCCC3)(c4ccccc4)c5ccccc5,30,57,SUCCESS,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,-0.256,1.516,2.731,0,0.997,0.998,1,1,-5.46,0.00014,0.263,62.47%,1.854,44.11%,0.009,0.054,0.022,0.13,0.006,0.041,0.905,0.159,0.071,0.909,2.256,0.928,0.512,0.236,0.008,0.027,0.002,0.985,0.283,0.138,0.003,0.011,0.799,0.946,3.527,3.248,4.289,0.363,0.011,0.032,0.004,0.285,0.008,0.014,0.219,0.001,0.003,0.028,0.093,392.22,418.404,0.937,4,1,46.53,5,5,7,4,1,27,0.185,2,0,0,0,0,0,1,1,0,0.636,4.769,0.48,124.054,0.25,0,0,0,0,Accepted,Accepted,Accepted,Accepted
FLAVOXATE HYDROCHLORIDE,,[H+].[Cl-].CC1=C(Oc2c(cccc2C1=O)C(=O)OCCN3CCCCC3)c4ccccc4,31,57,SUCCESS,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,-4.894,3.949,4.698,0.996,0.014,0.004,0.085,0.008,-4.783,5.64E-05,0.181,91.83%,2.673,3.31%,0.688,0.839,0.269,0.125,0.169,0.191,0.986,0.813,0.408,0.216,5.076,0.028,0.705,0.675,0.96,0.138,0.069,0.038,0.502,0.136,0.003,0.015,0.339,1.128,4.714,5.861,4.9,0.248,0.012,0.889,0.819,0.394,0.006,0.03,0.474,0.204,0.031,0.234,0.193,391.18,411.864,0.95,5,0,59.75,6,4,10,5,0,25,0.24,0,0,0,0,0,0,0,0,0,0.603,2.245,0.333,48.562,-0.383,0,0,0,0,Accepted,Rejected,Rejected,Accepted
GENTIAN VIOLET,,[Cl-].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,29,57,SUCCESS,CN(C)c1ccc([C+](c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,-4.521,4.161,5.681,0.999,0.995,0.039,0.009,0.245,-4.529,2.43E-05,0.224,97.38%,0.85,1.45%,0.878,0.933,0.45,0.76,0.326,0.222,0.82,0.389,0.672,0.939,6.295,0.119,0.969,0.024,0.976,0.678,0.083,0.941,0.547,0.912,0.003,0.86,0.987,3.393,4.886,5.698,6.451,0.09,0.908,0.515,0.956,0.958,0.98,0.305,0.932,0.949,0.291,0.979,0.98,372.24,423.231,0.88,3,0,9.72,6,3,6,3,1,18,0.333,0,0,0,4,0,1,0,0,1,0.45,2.827,0.24,19,-0.287,1,1,0,0,Accepted,Rejected,Rejected,Accepted
THIETHYLPERAZINE MALATE,,CCSc1ccc2Sc3ccccc3N(CCCN4CCN(C)CC4)c2c1.OC(CC(O)=O)C(O)=O,36,57,SUCCESS,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,-4.802,4.152,5.055,0.995,0.998,0.007,0.975,0.948,-4.52,1.14E-05,0.998,91.10%,3.103,4.61%,0.599,0.959,0.241,0.98,0.011,0.499,0.988,0.952,0.08,0.925,14.636,0.009,0.989,0.44,0.968,0.053,0.59,0.637,0.603,0.268,0.003,0.01,0.966,1.132,4.521,5.406,5.727,0.691,0.021,0.052,0.139,0.15,0.007,0.005,0.54,0.012,0.287,0.109,0.692,399.18,409.032,0.976,3,0,9.72,6,4,14,5,0,22,0.273,0,0,1,1,0,0,0,0,1,0.628,2.433,0.455,45,-1.611,1,0,0,0,Accepted,Rejected,Rejected,Accepted
OXYCODONE,,COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,23,57,SUCCESS,COc1ccc2c3c1OC1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,-2.105,0.573,1.291,0.004,0.987,0.006,0.004,0.994,-5.039,1.74E-05,0.994,32.99%,3.2,65.56%,0.052,0.637,0.025,0.919,0.017,0.198,0.087,0.897,0.039,0.839,6.437,0.684,0.303,0.438,0.046,0.104,0.952,0.922,0.396,0.962,0.003,0.009,0.925,0.686,2.024,2.704,3.673,0.04,0.052,0.151,0.29,0.099,0.009,0.012,0.09,0.18,0.016,0.039,0.853,315.15,312.714,1.008,5,1,59,1,5,0,5,0,23,0.043,4,1,0,3,0,1,2,0,0,0.839,4.98,0.611,134,1.91,0,0,0,0,Accepted,Accepted,Accepted,Accepted
IVABRADINE,,COc1cc2CCN(CCCN(C)C[C@H]3Cc4cc(OC)c(OC)cc34)C(=O)Cc2cc1OC,34,57,SUCCESS,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,-3.023,2.834,2.62,0.358,0.949,0.003,0.977,0.475,-5.22,1.26E-05,0.823,69.68%,1.769,25.90%,0.02,0.906,0.042,0.963,0.012,0.442,0.036,0.923,0.21,0.937,10.662,0.701,0.857,0.766,0.902,0.021,0.299,0.942,0.683,0.05,0.003,0.008,0.955,1.549,2.971,4.503,6.168,0.524,0.048,0.405,0.237,0.177,0.176,0.012,0.371,0.251,0.019,0.046,0.27,468.26,488.812,0.958,7,0,60.47,10,4,11,7,0,22,0.455,1,0,0,0,0,1,1,0,0,0.533,3.121,0.519,77.854,-0.238,0,0,0,0,Accepted,Accepted,Rejected,Accepted
REMIFENTANIL HYDROCHLORIDE,,[H+].[Cl-].CCC(=O)N(c1ccccc1)C2(CCN(CCC(=O)OC)CC2)C(=O)OC,29,57,SUCCESS,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,-2.705,2.245,2.139,0.331,0.004,0.062,0.358,0.349,-4.772,3.27E-05,0.847,85.61%,0.864,40.22%,0.027,0.165,0.093,0.94,0.014,0.148,0.516,0.435,0.053,0.903,7.936,0.36,0.066,0.831,0.943,0.142,0.262,0.625,0.098,0.703,0.003,0.01,0.045,0.232,2.109,2.452,3.445,0.55,0.824,0.093,0.024,0.217,0.188,0.004,0.722,0.08,0.018,0.024,0.455,376.2,387.489,0.971,7,0,76.15,10,2,6,7,0,15,0.667,0,0,0,1,0,1,2,0,2,0.678,2.568,0.55,34.839,-0.526,0,0,0,0,Accepted,Accepted,Accepted,Accepted
FLUPHENAZINE ENANTHATE,,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,38,57,SUCCESS,CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-5.907,5.004,6.456,0.995,0.995,0.002,0.999,0.974,-5.169,1.21E-05,0.997,95.62%,2.965,1.10%,0.475,0.865,0.439,0.953,0.038,0.309,0.992,0.933,0.814,0.893,12.942,0.002,0.997,0.353,0.48,0.017,0.596,0.932,0.248,0.086,0.003,0.008,0.948,0.562,5.047,5.632,6.287,0.567,0.059,0.276,0.559,0.287,0.023,0.01,0.841,0.011,0.14,0.109,0.687,549.26,544.741,1.008,5,0,36.02,14,4,14,9,0,23,0.609,0,0,1,1,0,1,0,2,2,0.213,2.603,0.552,52.267,-0.997,1,0,0,0,Rejected,Rejected,Rejected,Rejected
NISOLDIPINE,,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+]([O-])=O)C(=O)OCC(C)C)C,28,57,SUCCESS,COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],-4.178,4.073,3.277,0.994,0.006,0.006,0.842,0.484,-4.68,0.000162,0.699,90.99%,1.024,9.94%,0.154,0.308,0.872,0.9,0.874,0.079,0.009,0.221,0.818,0.823,10.043,0.294,0.098,0.909,0.937,0.209,0.171,0.835,0.921,0.286,0.004,0.018,0.903,0.705,4.293,5.199,5.183,0.005,0.171,0.961,0.906,0.048,0.839,0.153,0.749,0.667,0.881,0.968,0.903,388.16,391.006,0.993,8,0,108.1,8,2,6,8,0,15,0.533,2,0,0,6,0,2,2,3,3,0.42,3.22,0.45,53.345,-1.118,2,0,0,0,Accepted,Accepted,Accepted,Accepted
ALPROSTADIL,,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O,25,57,SUCCESS,CCCCC[C@H](O)/C=C/[C@@H]1C(CCCCCCC(=O)O)C(=O)C[C@H]1O,-3.755,1.992,3.072,0.081,0.963,0.875,1,0.999,-5.306,3.63E-05,0.064,86.32%,0.408,2.76%,0.029,0.732,0.014,0.704,0.042,0.992,0.004,0.116,0.023,0.033,4.441,0.912,0.025,0.292,0.058,0.011,0.809,0.948,0.298,0.073,0.004,0.02,0.431,0.326,3.872,4.487,4.114,0.038,0.005,0.011,0.102,0.392,0.008,0.705,0.416,0.007,0.053,0.074,0.397,354.24,381.961,0.927,5,3,94.83,13,1,5,5,0,8,1.625,4,0,0,0,0,1,1,2,0,0.348,3.672,0.8,20,1.698,0,0,0,0,Accepted,Accepted,Accepted,Accepted
MORICIZINE HYDROCHLORIDE,,[H+].[Cl-].CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN4CCOCC4)c2c1,32,57,SUCCESS,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,-4.225,3.01,3.159,0.96,0.963,0.006,0.005,0.004,-4.637,3.45E-05,0.455,91.01%,0.843,11.19%,0.243,0.419,0.639,0.907,0.197,0.509,0.037,0.713,0.77,0.93,12.775,0.039,0.549,0.093,0.967,0.024,0.039,0.146,0.694,0.81,0.003,0.007,0.104,0.905,3.277,4.705,4.083,0.47,0.371,0.799,0.141,0.32,0.014,0.004,0.573,0.013,0.019,0.091,0.36,427.16,420.411,1.016,7,1,71.11,8,4,14,8,0,24,0.333,0,0,2,2,0,1,4,1,2,0.775,2.446,0.364,47.6,-1.749,1,0,0,0,Accepted,Rejected,Rejected,Accepted
ZIPRASIDONE HYDROCHLORIDE,,[H+].O.[Cl-].Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45,31,57,SUCCESS,Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1,-5.279,4.375,5.204,0.995,0.036,0.003,0.023,0.396,-5.384,1.41E-05,0.956,96.16%,2.644,1.44%,0.86,0.963,0.745,0.39,0.15,0.712,0.974,0.938,0.397,0.759,4.824,0.064,0.971,0.984,0.907,0.711,0.856,0.874,0.919,0.641,0.003,0.021,0.881,1.028,4.097,5.183,5.751,0.008,0.01,0.955,0.047,0.157,0.031,0.007,0.864,0.047,0.908,0.32,0.643,412.11,394.396,1.045,5,2,55.39,4,5,9,7,0,26,0.154,0,2,0,4,0,1,0,1,2,0.518,2.708,0.286,57.407,-1.4,0,0,0,0,Accepted,Rejected,Rejected,Accepted
PENICILLIN V,,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(O)=O,24,56,SUCCESS,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,-3.289,0.992,2.006,0,0.006,0.012,0.011,0.003,-5.772,2.91E-05,0.02,83.19%,0.199,31.36%,0.009,0.053,0.025,0.109,0.027,0.318,0.367,0.087,0.011,0.109,6.193,0.927,0.008,0.091,0.961,0.004,0.026,0.002,0.454,0.015,0.003,0.009,0.016,0.362,2.732,3.528,3.917,0.005,0.002,0.015,0.004,0.13,0.006,0.004,0.137,0.008,0.01,0.009,0.009,350.09,328.258,1.067,7,2,95.94,6,3,7,8,0,17,0.353,3,0,0,0,0,0,3,0,2,0.759,3.206,0.438,66.957,0.074,4,1,0,0,Accepted,Accepted,Accepted,Accepted
REPAGLINIDE,,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(O)=O,33,56,SUCCESS,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,-4.299,4.541,5.382,0.039,0.077,0.002,0.004,0.004,-4.95,2.35E-05,0.03,97.55%,0.209,1.83%,0.111,0.431,0.482,0.198,0.885,0.932,0.421,0.164,0.408,0.377,3.683,0.601,0.49,0.766,0.966,0.012,0.262,0.902,0.064,0.142,0.003,0.012,0.27,0.413,3.71,5.185,3.809,0.876,0.016,0.386,0.041,0.333,0.025,0.963,0.533,0.158,0.337,0.445,0.222,452.27,485.941,0.931,6,2,78.87,11,3,6,6,0,20,0.55,1,0,0,1,0,0,1,0,1,0.517,2.767,0.481,61.75,-0.786,2,0,0,0,Accepted,Accepted,Rejected,Accepted
TIOTROPIUM BROMIDE,,[Br-].C[N+]1(C)C2CC(CC1C3OC23)OC(=O)C(O)(c4sccc4)c5sccc5,27,56,SUCCESS,C[N+]1(C)C2CC(OC(=O)C(O)(c3cccs3)c3cccs3)CC1C1OC12,-0.877,0.797,0.745,0,0.43,0.999,1,1,-5.341,0.000128,0.025,58.37%,1.265,60.06%,0.033,0.096,0.134,0.638,0.084,0.061,0.62,0.734,0.227,0.874,1.375,0.86,0.004,0.53,0.01,0.007,0.941,0.953,0.027,0.401,0.003,0.011,0.604,0.187,2.013,4.079,3.985,0,0.004,0.003,0.001,0.269,0.007,0.009,0.061,0.001,0.004,0.013,0.508,392.1,365.71,1.072,5,1,59.06,5,5,8,7,1,22,0.227,4,1,0,5,2,2,3,3,3,0.493,5.111,0.526,101,0.511,1,0,0,0,Accepted,Accepted,Accepted,Accepted
TILUDRONATE DISODIUM,,[Na+].[Na+].O[P]([O-])(=O)C(Sc1ccc(Cl)cc1)[P](O)([O-])=O,19,56,SUCCESS,O=[PH](=O)([O-])C(Sc1ccc(Cl)cc1)[PH](=O)(=O)[O-],-1.428,-0.398,0.29,0.003,0,0.914,0.978,0.999,-5.278,1.83E-05,0.942,82.09%,0.867,26.75%,0.019,0.077,0.07,0.041,0.03,0.939,0.01,0.086,0.004,0.059,1.153,0.549,0.004,0.035,0.983,0.868,0.069,0.905,0.842,0.446,0.034,0.747,0.934,0.884,3.725,4.046,5.428,0.039,0.009,0.004,0.002,0.098,0.006,0.007,0.009,0.003,0.003,0.01,0.002,315.91,236.642,1.335,6,0,114.4,4,1,6,10,-2,10,0.4,0,1,0,0,2,1,0,1,0,0.604,4.387,0.143,12,-1.002,1,1,0,0,Accepted,Accepted,Accepted,Accepted
NOREPINEPHRINE BITARTRATE,,O.NC[C@H](O)c1ccc(O)c(O)c1.O[C@H]([C@@H](O)C(O)=O)C(O)=O,23,56,SUCCESS,NC[C@H](O)c1ccc(O)c(O)c1,-2.835,-0.601,-1.09,0,0.403,0.036,0.992,0.991,-5.306,3.75E-05,0.035,27.14%,1.073,74.86%,0.044,0.136,0.03,0.064,0.033,0.772,0.024,0.575,0.046,0.122,14.452,0.848,0.034,0.124,0.029,0.713,0.741,0.948,0.925,0.05,0.569,0.223,0.433,0.548,3.654,3.778,4.67,0.081,0.018,0.389,0.008,0.127,0.007,0.005,0.035,0.016,0.073,0.084,0.007,169.07,167.826,1.007,4,5,86.71,2,1,6,4,0,6,0.333,1,0,0,0,0,1,6,0,2,0.472,2.676,0.25,14,1.194,2,0,1,1,Accepted,Accepted,Accepted,Rejected
LIOTHYRONINE SODIUM,,[Na+].N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C([O-])=O,24,56,SUCCESS,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],-1.656,1.754,2.797,0.003,0.001,0.005,0.001,0.002,-4.595,1.89E-05,0.02,92.70%,0.32,4.78%,0.682,0.109,0.089,0.069,0.636,0.284,0.253,0.269,0.24,0.286,2.167,0.752,0.298,0.777,0.054,0.009,0.68,0.934,0.767,0.066,0.003,0.009,0.853,1.833,5.418,6.51,6.647,0.468,0.064,0.837,0.511,0.385,0.024,0.969,0.409,0.008,0.049,0.445,0.303,649.78,353.098,1.84,5,3,95.61,5,2,6,8,-1,13,0.385,1,1,0,0,0,1,0,1,1,0.486,3.555,0.133,30,0.403,3,1,0,0,Accepted,Accepted,Rejected,Rejected
CIPROFLOXACIN HYDROCHLORIDE,,[H+].O.[Cl-].OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,27,56,SUCCESS,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-4.107,0.48,-0.812,0.001,0.999,0.006,0.001,0.001,-5.269,3.00E-06,0.027,37.46%,2.324,78.86%,0.101,0.26,0.061,0.201,0.094,0.075,0.033,0.152,0.011,0.148,3.241,0.056,0.203,0.985,0.976,0.195,0.249,0.883,0.53,0.355,0.003,0.02,0.817,0.09,2.434,2.572,3.833,0.715,0.005,0.124,0.005,0.37,0.009,0.005,0.41,0.031,0.021,0.015,0.043,331.13,317.972,1.041,6,2,74.57,3,4,10,7,0,22,0.136,0,1,1,1,0,2,0,1,1,0.893,2.465,0.412,56.833,-0.725,1,0,0,0,Accepted,Accepted,Accepted,Accepted
CINACALCET HYDROCHLORIDE,,[Cl-].C[C@@H](NCCCc1cccc(c1)C(F)(F)F)c2cccc3ccccc23.[H+],28,56,SUCCESS,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,-6.253,4.546,5.628,0.927,0.64,0.002,0.913,0.99,-4.987,7.03E-06,0.954,95.78%,1.171,1.58%,0.826,0.869,0.844,0.77,0.12,0.136,0.994,0.926,0.796,0.502,5.466,0.041,0.902,0.947,0.05,0.024,0.127,0.974,0.048,0.047,0.004,0.028,0.687,2.507,5.047,6.091,6.79,0.35,0.005,0.16,0.52,0.294,0.006,0.009,0.09,0.003,0.026,0.385,0.069,357.17,371.507,0.961,1,1,12.03,7,3,10,4,0,17,0.412,1,0,0,1,0,1,0,2,0,0.522,2.414,0.273,36,-1.054,0,0,0,0,Accepted,Rejected,Rejected,Accepted
IOPAMIDOL,,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,31,56,SUCCESS,CC(=O)C(O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,-0.372,-0.435,-2.204,0.001,0.986,0.968,0.993,0.988,-5.645,0.001108,0.225,10.35%,0.488,87.15%,0.026,0.016,0.012,0.054,0.006,0.131,0.001,0.085,0.007,0.017,1.596,0.942,0.017,0.084,0.022,0.024,0.002,0.001,0.045,0.005,0.003,0.011,0.023,0.171,1.813,3.141,3.964,0.98,0.053,0.033,0.015,0.606,0.014,0.055,0.454,0.007,0.011,0.06,0.054,776.85,457.355,1.699,11,8,188.45,13,1,6,14,0,9,1.444,1,0,0,0,1,2,3,1,3,0.103,3.879,0.471,30,0.014,2,2,0,0,Rejected,Accepted,Rejected,Rejected
COLCHICINE,,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(C)=O,29,56,SUCCESS,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-2.68,1.485,1.094,0.86,0.044,0.003,0.005,0.018,-4.712,2.54E-05,0.542,57.51%,0.747,23.76%,0.069,0.948,0.199,0.879,0.048,0.563,0.077,0.624,0.339,0.896,1.95,0.343,0.067,0.75,0.205,0.206,0.037,0.929,0.056,0.057,0.003,0.011,0.169,1.361,2.883,5.232,6.61,0.127,0.062,0.699,0.622,0.402,0.092,0.45,0.702,0.928,0.164,0.631,0.915,399.17,406.045,0.983,7,1,83.09,6,3,16,7,0,20,0.3,1,0,0,0,0,0,2,0,0,0.833,2.924,0.364,64,0.755,0,0,0,0,Accepted,Accepted,Accepted,Accepted
